1,1,0,0,1,1,0,1,1,0,0,0,0,3,2,1,0,0,0,0,0.136805678697383,1.13190854661952,0.889820318456291,0.038330147672426
2,1,1,1,1,0,1,1,1,0,0,0,3,1,2,3,0,0,0,0,0.126720887473652,1.03622855546656,0.513672472875112,0.0812836417854483
2,1,1,0,1,1,1,0,2,0,0,0,1,3,2,3,0,0,0,0,0.160440775061625,0.903090728978498,0.469003440940227,0.101479074066824
3,2,1,1,0,1,1,1,7,0,0,3,3,3,5,1,1,1,0,0,0.152940736651658,0.777105572085518,0.199591293689199,0.107817509994375
3,2,1,1,1,1,1,1,4,0,0,0,1,3,3,2,5,1,0,0,0.148392830855872,0.783388000072901,0.227316289660553,0.0480991402046743
3,2,1,1,1,1,1,1,2,0,0,0,3,3,2,4,1,0,0,0,0.155702226313422,0.782518892333384,0.238075319667027,0.0544578879234985
3,0,1,1,1,1,1,1,4,0,0,0,1,4,4,4,0,0,0,0,0.153498772262722,0.891276051691236,0.457119595479584,0.0346045888356473
2,2,1,1,1,1,1,1,5,0,0,0,2,3,3,5,2,0,0,0,0.153032393337994,0.784228121349035,0.239718265497792,0.00856980322044496
2,1,1,1,1,1,1,1,3,0,0,0,3,2,3,4,0,0,0,0,0.140367028853467,0.860454429924618,0.291048679996725,0.0800417233178072
3,1,1,1,1,1,1,1,2,0,0,2,3,2,5,0,0,0,0,0,0.144990312096888,0.829893173761515,0.259761393254821,0.0955470875075539
2,1,0,2,1,0,0,1,1,0,0,0,0,1,1,3,3,0,0,0,0.148377625123632,0.799802541761138,0.302899550397382,0.0930157363404336
0,1,0,2,1,0,0,0,1,0,0,0,0,1,1,3,0,0,0,0,0.143592058696622,0.895788116706239,0.478025273060893,0.05063730982925
3,1,1,2,3,1,1,1,1,0,0,0,0,1,1,1,3,8,0,0,0.12546552513208,0.698086586173617,0.134139683151216,0.0473979730819859
2,1,1,1,2,1,1,0,1,0,0,0,1,0,1,2,6,0,0,0,0.128447839383508,0.770792566682344,0.197916888290651,0.047324548503438
1,1,1,1,3,1,1,1,1,0,0,0,0,1,1,1,8,0,0,0,0.141320363140147,0.805813524500554,0.311497557767739,0.0920129837588012
2,1,1,1,3,1,1,1,2,0,0,0,1,1,1,4,6,0,0,0,0.162480172980734,0.684791361777116,0.206135688079128,0.0455491169473624
1,0,0,1,2,0,0,0,1,0,0,0,0,1,1,3,0,0,0,0,0.113442024758306,1.04395233985294,0.650800112834636,0.10183961876358
1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0.135915227534264,1.01385187374004,0.636617099991587,0.106640007641224
1,0,0,1,2,1,0,0,1,0,0,0,0,0,1,1,4,0,0,0,0.122843786911399,0.977400479446393,0.447172688746873,0.251900317265318
1,0,0,1,2,1,1,1,1,0,0,0,0,0,1,2,5,0,0,0,0.135657436784597,0.808943905969036,0.2758342729244,0.107243549719171
2,1,1,1,2,1,1,1,1,0,0,1,0,0,0,0,9,0,1,0,0.100054499596857,0.832703730317098,0.121822533988013,0.222695519316802
1,1,1,1,3,1,1,1,1,0,0,0,1,0,0,9,0,1,0,0,0.0876373198788784,0.766186667708898,0.0861667599352292,0.0922095713816733
0,2,2,2,2,1,1,1,1,0,4,0,0,0,0,0,8,0,0,0,0.115615337143644,0.715649182616346,0.0887990201462881,0.106818505054321
2,2,2,1,5,1,1,1,1,0,0,3,0,1,1,9,1,1,0,0,0.108687869132709,0.691575005732174,0.0492105775963995,0.108694125940731
2,2,2,7,1,1,1,1,1,0,0,4,1,1,1,9,1,1,0,0,0.133491186540604,0.478969321636369,0.193278665104094,0.0290275803770429
2,2,2,2,8,1,1,0,0,0,0,5,1,1,1,1,7,1,1,0,0.117973437648727,0.67385820401128,0.0832469553617372,0.0658407874900832
0,1,1,1,2,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0.0998448125225081,0.808251003737517,0.136001815436355,0.151345795305272
1,1,2,1,8,1,1,1,1,0,0,2,1,1,1,1,9,1,1,0,0.109505020360622,0.703824654418715,0.0663355055936371,0.110604246209064
2,2,2,2,4,1,1,1,1,0,0,4,0,0,0,1,9,1,1,0,0.121169621587076,0.697504242985298,0.0821310236346101,0.126697199003722
1,1,1,1,5,1,1,1,1,0,0,1,1,1,1,0,9,0,0,0,0.0998310212473636,0.816943332714467,0.124729793480027,0.118465117388933
1,1,1,1,1,1,1,1,1,0,0,0,0,1,5,0,3,0,0,0,0.132156229084136,1.06193131646639,0.655100063992136,0.12442729304677
1,1,1,1,2,1,0,0,2,0,0,1,4,1,1,2,0,0,0,0,0.107402898654657,0.939681589532551,0.272273345502152,0.00124136859630112
2,1,1,3,1,1,1,1,1,0,0,0,0,5,2,1,4,0,0,0,0.107609365191946,0.923232297126566,0.332360266059341,0.00500028394553421
1,1,1,1,3,1,1,1,4,0,0,1,6,0,1,2,3,1,0,0,0.110990595569865,0.778004054703767,0.111633518452487,0.00481795276292768
3,1,1,4,1,1,1,1,2,0,0,0,5,2,3,2,3,0,0,0,0.112951133987459,0.809100113207988,0.171949452486813,0.0261818853338741
1,1,1,2,1,1,1,1,2,0,0,0,5,1,1,2,2,0,0,0,0.132034364217065,0.833777444545043,0.235179401218879,0.0137045208142213
0,9,1,1,1,2,2,3,0,0,7,4,1,2,1,1,1,1,1,0,0.227151141112911,0.861840256813386,0.16464881822507,0.226016517697209
4,1,1,2,1,1,0,1,2,0,0,1,0,4,0,2,5,1,0,0,0.108091154664122,0.949720599783913,0.251074496431955,0.0628022623965841
1,1,1,2,1,1,0,1,3,0,0,0,0,1,4,2,4,0,0,0,0.152936650137025,0.817128399392164,0.337949650802595,0.0267419012092474
1,1,1,3,1,0,0,1,3,0,0,0,0,5,1,2,3,0,0,0,0.139261819371661,0.78071181696983,0.248283731444179,0.00218571324417301
0,8,1,1,1,1,1,1,1,0,1,1,1,2,2,3,1,2,2,0,0.133869705639634,0.983738798574105,0.105573749888029,0.619240213015766
2,1,1,1,1,1,0,1,1,0,0,0,1,0,2,2,2,2,0,0,0.133173368413066,1.08717207843125,0.426029680134678,0.816459974977351
4,1,1,1,1,0,1,1,1,0,0,1,1,2,2,1,2,2,0,0,0.141448127859032,0.976801689076464,0.226597012200096,0.526972811180571
0,6,1,1,1,1,1,1,1,0,1,1,1,3,2,1,1,2,1,0,0.139807536830746,0.871291800129911,0.0822741698930282,0.457050108735459
0,3,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0.1341364651232,0.951885066162571,0.0538789950817662,0.522144902291431
0,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0.133834907239543,0.906904100052048,0.0708860951349112,0.65266984108857
0,5,1,1,1,1,2,1,1,0,0,1,2,2,3,1,1,2,1,0,0.164326211296273,0.802437118633733,0.0786601827662269,0.395688919987268
2,1,2,1,1,1,1,1,2,0,0,0,2,3,2,2,2,1,0,0,0.189402717330744,0.810894532335042,0.328496047153572,0.220819010072269
0,7,2,2,1,1,1,1,1,0,1,2,3,2,2,2,2,1,1,0,0.154630383287218,0.802966684303228,0.200307936526122,0.286172034224827
0,7,1,1,1,1,1,1,0,0,1,1,2,2,2,2,1,1,1,0,0.168466138658459,0.770605867346939,0.0894192591114299,0.231516899864692
